team,mid_prob,yes_bid,yes_ask,last,volume
UConn,0.685,0.68,0.69,0.69,218716.0
UCLA,0.155,0.15,0.16,0.15,152609.0
South Carolina,0.09,0.08,0.1,0.1,104206.0
Texas,0.08499999999999999,0.08,0.09,0.08,69230.0
LSU,0.035,0.03,0.04,0.03,43716.0
Rhode Island,0.01,0.0,0.01,0.01,776.0
Michigan,0.01,0.0,0.01,0.01,36946.0
Vanderbilt,0.01,0.0,0.01,0.01,65782.0
Oklahoma,0.01,0.0,0.01,0.01,11700.0
Tennessee,0.01,0.0,0.01,0.01,7100.0
TCU,0.01,0.0,0.01,0.01,63841.0
Louisville,0.01,0.0,0.01,0.01,5604.0
USC,0.01,0.0,0.01,0.01,2581.0
North Carolina,0.01,0.0,0.01,0.01,2085.0
Kentucky,0.01,0.0,0.01,0.01,1645.0
North Carolina St.,0.01,0.0,0.01,0.01,4228.0
Baylor,0.01,0.0,0.01,0.01,4034.0
Duke,0.01,0.0,0.01,0.01,19578.0
Iowa,0.01,0.0,0.01,0.01,17388.0
Iowa St.,0.01,0.0,0.01,0.01,5856.0
Notre Dame,0.01,0.0,0.01,0.01,3415.0
Ole Miss,0.01,0.0,0.01,0.01,9532.0
